Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Height,Manufacturer_Name
"C1, C4",2,100nF,C_Disc_D3.4mm_W2.1mm_P2.50mm,,,,tht,Unpolarized capacitor,,
"C2, C3",2,100µF,CP_Radial_D5.0mm_P2.50mm,,,,tht,Polarized capacitor,,
C5,1,470nF,C_Disc_D3.4mm_W2.1mm_P2.50mm,,,,tht,Unpolarized capacitor,,
F1,1,T4A,Fuseholder_Clip-5x20mm_Littelfuse_111_Inline_P20.00x5.00mm_D1.05mm_Horizontal,,,,tht,Fuse,,
J1,1,12V In,694106301002,,,,tht,DC Barrel Jack with a mounting pin,,
J2,1,X11,PinHeader_1x05_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",,
J3,1,X11,PinHeader_1x04_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",,
L1,1,68µH,22R683C,,,,tht,Inductor,,
U1,1,PSU2-5,TO-220-3_Horizontal_TabDown,,,,tht,"Positive 1.5A 35V Linear Regulator, Fixed Output 5V, TO-220/TO-263/TO-252",,
U2,1,NKE1212SC,NKE1212SC,,NKE1212SC,,tht,"Murata Power Solutions NKE 1W Isolated DC-DC Converter Through Hole, Voltage in 10.8  13.2 V dc, Voltage out",7.71,Murata Electronics
