pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
124.429,-165.664,90.0,top,C1,,,C_Disc_D3.4mm_W2.1mm_P2.50mm,100nF,tht
115.539,-165.664,90.0,top,C2,,,CP_Radial_D5.0mm_P2.50mm,100µF,tht
106.779,-112.284,90.0,top,C3,,,CP_Radial_D5.0mm_P2.50mm,100µF,tht
115.539,-112.284,90.0,top,C4,,,C_Disc_D3.4mm_W2.1mm_P2.50mm,100nF,tht
90.229,-121.214,180.0,top,C5,,,C_Disc_D3.4mm_W2.1mm_P2.50mm,470nF,tht
76.169,-181.659,90.0,top,F1,,,Fuseholder_Clip-5x20mm_Littelfuse_111_Inline_P20.00x5.00mm_D1.05mm_Horizontal,T4A,tht
52.1095,-181.744,0.0,top,J1,,,694106301002,12V In,tht
133.069,-93.744,0.0,top,J2,,,PinHeader_1x05_P2.54mm_Vertical,X11,tht
133.069,-193.744,0.0,top,J3,,,PinHeader_1x04_P2.54mm_Vertical,X11,tht
94.889,-121.214,0.0,top,L1,,,22R683C,68µH,tht
88.869,-161.854,-90.0,top,U1,,,TO-220-3_Horizontal_TabDown,PSU2-5,tht
88.999,-112.804,0.0,top,U2,NKE1212SC,,NKE1212SC,NKE1212SC,tht
